p_E,p_F,objective,beta1,beta2,beta3,beta4,beta5,phi1,phi2,phi3,phi4,phi5,lambda_A1,lambda_A2,lambda_A3,lambda_A4,lambda_A5,sigma_A1,sigma_A2,sigma_A3,sigma_A4,sigma_A5,lambda_C1,lambda_C2,lambda_C3,lambda_C4,lambda_C5,sigma_C1,sigma_C2,sigma_C3,sigma_C4,sigma_C5
2.0,1.0,-1960315036.6741507,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1490649.7962852044,2531590.4437167528,3083014.2271729144,1742183.8196386169,2837425.4507088671,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,736315.55899406597,736297.64213845262,736555.53845681297,735819.46155375196,736412.3347797395
2.0,2.0,-62265174.470898122,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1806154.941302418,2674780.6475899718,1752157.1097131527,2185510.7270627967,2538385.189514963,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,21564.421034980078,21290.365216523453,21766.136595858145,21923.266398013213,21681.345561709353
2.0,5.0,-178626698.9181813,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,83266.518791710987,2684078.5270141335,846312.87878630811,1273378.7803114606,1713825.2176153259,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,312.11750385115892,413.06025391281867,725.38092801167079,383.11050760653598,652.3948878375287
2.0,10.0,-336698473.61442482,0.080743572137237596,1.0,0.19244132786922016,0.0,0.79852555364426447,0.0,0.0,0.0,0.0,0.0,7546777.2210919205,1864.4719698144311,8072138.9108129442,7731615.1202749144,26170196.078431372,1135798.1469763634,2240330.7742250329,1198779.583948202,1451975.3400871323,585487.19167221244,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,27.317698542754698,884.01619516750509,9.1161095587802805,664.58404286555276,881.85432999600619
5.0,0.1,-3306949.7902377737,0.96147996447246697,0.74616982936533693,1.0,0.73180491981492946,0.48738408366304464,0.0,0.0,0.0,0.0,0.0,1842775.4904033446,257892.16117253562,451616.20399584877,4236639.96091408,3050488.6875061584,1503319.1100885551,541786.51176361577,1450366.6588674462,1888837.6903325019,2280861.3198726415,1769189.193924898,464634.54258963879,13030189.409355121,1158976.7475321242,223581.02969457573,129.20886446488751,965.13465509244907,19.400916357427139,382.38462483908302,381.47479794488083
5.0,0.2,-799714965.59541738,1.0,1.0,1.0,1.0,1.0,0.0,0.0,158653552.30835122,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1829769.9989956834,378045.80326817528,2318157.7078447314,2872302.8739279229,2745561.0286759515,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,116.3961281464379,267.18329869765631,600.48226854047334,499.41787510174669,731.7688728128519
5.0,0.5,-5016594670.7100306,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2272710.1923028384,1960957.0146701583,1334880.1493642631,2502240.0627853745,1782222.7992569911,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,673.24068679180891,126.37022841842418,470.79906835284413,497.65567074468322,622.68889298181443
5.0,1.0,-151217973.58843303,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23246589.851623867,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1445043.2203133428,2696054.2987946253,1981946.4588306288,135171.26122743706,1694798.4664814321,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,917.34991280658528,617.07268600497582,77.284879948763745,887.03811051065304,950.86347625597227
5.0,2.0,-69919414.194957569,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,5517.6223512727502,7731615.1202749144,26170196.078431372,1825450.395968514,2307671.2272343682,475375.51632694365,1294992.0766587497,1389693.7556127866,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,611.00721032735828,521.7534624857667,587.30635107502405,676.0191007154616,278.1250028723739
5.0,5.0,-168376894.81128392,1.0,0.4613168405488362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,23476.241485335784,1461001.0868724417,998994.49903268227,491833.07951443276,1341680.2659389442,2445066.0332079181,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,152403.91170982301,987.17191234710094,897.26973416690123,561.4594742673944,650.00013952561301,756.78799828911974
5.0,10.0,-334763838.94587201,0.16379319513142465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,1955.0430359341851,8072138.9108129442,7731615.1202749144,1513606.5619970807,2210423.3526022285,485075.34668177197,469907.27843213652,1213408.8371371201,1633862.0600542615,2858439.8976982096,1792474.674968353,16738788.870703764,5226248.5481997672,4950593.4718100894,856.42729685947654,299.04780642515163,519.70593272822532,959.10704247313924,465.03251516147412
10.0,0.1,-10002903772.268473,0.55476387991860465,1.0,1.0,1.0,1.0,1000000000.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,690892.34840918821,2756271.6051769429,2645163.927276562,2685465.833735757,456700.49265479628,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,198.13043411126498,390.17390897957404,124.68774438672526,796.77243086475846,593.22815257778564
10.0,0.2,-6128181.1915245038,0.059360003242817025,0.69006864671228407,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8624778.9271481745,111915.11573791721,2384465.939131334,7731615.1202749144,3493274.6670373394,445311.60751079745,414797.6540184429,2478571.3675658121,2207540.924234116,2259427.0998286698,2126957.7402956262,123211.99661284953,9941313.5366865657,5226248.5481997672,2945001.1487134546,939.13404993393067,885.83226478979964,791.50059098394127,335.72585764365294,193.99087050949646
10.0,0.5,-17132983.046852104,0.4571010653815662,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2113375.0551802698,1419101.84629592,2367653.7943585296,744387.61587363028,1799170.6497948752,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,807.25700747532881,209.62244200939296,205.28460691939176,482.70520204166644,753.13352193055107
10.0,1.0,-10032512636.637678,0.79995729176555563,0.0,0.0,0.5014112732581798,0.014343675546262181,0.0,0.0,0.0,1000000000.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2075599.8470708218,2504654.1319470126,1884398.0752060676,300996.28416297375,643240.02686829364,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,770.23796537742294,617.61122685309488,606.09192548994224,137.62058888238394,255.01882426409117
10.0,2.0,-710649141.0942148,0.27948413223269003,1.0,0.0,1.0,1.0,0.0,64305430.790383615,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,606438.14609549253,2292917.6465313043,1915889.6607063303,2426686.4746803171,2318385.9808909073,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,923.04529239804037,485.67844182245335,262.45242254765009,446.33840177789926,780.17849982132213
10.0,5.0,-162738829.93802926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,7214553.9062850308,7731615.1202749144,26170196.078431372,2356568.3101435872,719690.38490715041,1106660.4152832492,1726856.0909093085,1021413.611932838,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,779.46732521212687,44.283342191825511,96.460454151561251,222.85585321291904,813.41568472722577
10.0,10.0,-326797526.36546344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1512730.9561284771,1347802.55847655,962821.96469781047,1210527.4926687805,940953.7023831011,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,85.42951237956764,431.44264959777598,381.04645736634444,659.07935343597615,917.34864089163568
